Statistical profiling result from isolate-0x1046a1000-5642-v8.log, (6527 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     87   94.6%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      5    5.4%            LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35

    366    5.6%  T _host_get_clock_service

    348    5.3%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_6WritevERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
    346   99.4%    T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
    346  100.0%      LazyCompile: ~writevGeneric internal/stream_base_commons.js:118:23
    346  100.0%        LazyCompile: ~Socket._writeGeneric net.js:759:42
    346  100.0%          LazyCompile: ~Socket._writev net.js:791:36
    346  100.0%            LazyCompile: ~doWrite internal/streams/writable.js:367:17

    134    2.1%  t __ZN4node2fsL4ReadERKN2v820FunctionCallbackInfoINS1_5ValueEEE
    134  100.0%    T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
    134  100.0%      LazyCompile: ~readSync fs.js:555:18
    134  100.0%        LazyCompile: ~tryReadSync fs.js:362:21
    134  100.0%          LazyCompile: ~readFileSync fs.js:374:22
    132   98.5%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37

    112    1.7%  /usr/lib/system/libsystem_malloc.dylib
     37   33.0%    LazyCompile: *clearBuffer internal/streams/writable.js:493:21
     37  100.0%      LazyCompile: *end _http_outgoing.js:769:45
     37  100.0%        LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
     25   67.6%          LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
     25  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     12   32.4%          LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
     12  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     20   17.9%    T __ZN2v88internal24Builtin_ErrorConstructorEiPmPNS0_7IsolateE
     20  100.0%      LazyCompile: ~structuredStack structured-stack:3:38
     16   80.0%        LazyCompile: *isInsideNodeModules internal/util.js:353:29
     16  100.0%          LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
     16  100.0%            LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      4   20.0%        LazyCompile: ~isInsideNodeModules internal/util.js:353:29
      4  100.0%          LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
      2   50.0%            LazyCompile: ~Buffer buffer.js:280:16
      2   50.0%            LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
     15   13.4%    t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      4   26.7%      t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      2   50.0%        LazyCompile: ~readPackage internal/modules/cjs/loader.js:240:21
      1   50.0%          LazyCompile: ~resolveExports internal/modules/cjs/loader.js:422:24
      1  100.0%            LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      1   50.0%          LazyCompile: ~readPackageScope internal/modules/cjs/loader.js:271:26
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
      1   25.0%        LazyCompile: ~module.exports /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:3:33
      1  100.0%          LazyCompile: *<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa-mount/index.js:48:25
      1  100.0%            LazyCompile: ~dispatch /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa-compose/index.js:35:23
      1   25.0%        LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:199:10
      1  100.0%          LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
      1  100.0%            LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      1    6.7%      LazyCompile: ~wrapCallSite /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:368:22
      1  100.0%        LazyCompile: ~prepareStackTrace /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:433:27
      1  100.0%          LazyCompile: ~maybeOverridePrepareStackTrace internal/errors.js:84:40
      1  100.0%            LazyCompile: ~prepareStackTrace internal/errors.js:59:27
      1    6.7%      LazyCompile: ~using /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/config/caching.js:224:8
      1  100.0%        LazyCompile: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/config/config-descriptors.js:83:71
      1  100.0%          LazyCompile: ~cachedFunction /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/config/caching.js:54:34
      1  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1    6.7%      LazyCompile: ~explode /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/traverse/lib/visitors.js:20:17
      1  100.0%        LazyCompile: ~merge /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/traverse/lib/visitors.js:143:15
      1  100.0%          Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/traverse/lib/path/conversion.js:1:1
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1    6.7%      LazyCompile: ~enabledHooksExist internal/async_hooks.js:440:27
      1  100.0%        LazyCompile: ~popAsyncContext internal/async_hooks.js:515:25
      1  100.0%          LazyCompile: ~emitAfterScript internal/async_hooks.js:479:25
      1  100.0%            LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
      1    6.7%      LazyCompile: ~callback /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/ee-first/index.js:53:20
      1  100.0%        LazyCompile: ~onevent /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/ee-first/index.js:81:26
      1  100.0%          LazyCompile: *emit events.js:264:44
      1  100.0%            LazyCompile: ~onFinish _http_outgoing.js:764:18
      1    6.7%      LazyCompile: ~buildRootChain /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/config/config-chain.js:68:25
      1  100.0%        t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1  100.0%          LazyCompile: ~loadPrivatePartialConfig /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/config/partial.js:75:35
      1  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1    6.7%      LazyCompile: ~CallSiteToString /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:292:26
      1  100.0%        LazyCompile: ~prepareStackTrace /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:433:27
      1  100.0%          LazyCompile: ~maybeOverridePrepareStackTrace internal/errors.js:84:40
      1  100.0%            LazyCompile: ~prepareStackTrace internal/errors.js:59:27
      1    6.7%      LazyCompile: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/gensync-utils/async.js:24:43
      1  100.0%        t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1  100.0%          LazyCompile: ~evaluateSync /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/gensync/index.js:249:22
      1  100.0%            LazyCompile: ~sync /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/gensync/index.js:88:19
      1    6.7%      LazyCompile: *onwrite internal/streams/writable.js:394:17
      1  100.0%        LazyCompile: *writeOrBuffer internal/streams/writable.js:334:23
      1  100.0%          LazyCompile: *value internal/console/constructor.js:258:20
      1  100.0%            LazyCompile: *warn internal/console/constructor.js:362:7
      1    6.7%      Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/types/lib/definitions/core.js:1:1
      1  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
      1  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:916:33
      1    6.7%      Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/register/lib/cache.js:1:1
      1  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
      1  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:916:33
      5    4.5%    LazyCompile: *connectionListenerInternal _http_server.js:418:36
      3   60.0%      LazyCompile: *connectionListener _http_server.js:412:28
      3  100.0%        LazyCompile: *onconnection net.js:1531:22
      1   20.0%      LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
      1  100.0%        LazyCompile: ~connectionListener _http_server.js:412:28
      1  100.0%          LazyCompile: *emit events.js:264:44
      1  100.0%            LazyCompile: ~onconnection net.js:1531:22
      1   20.0%      LazyCompile: *defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
      1  100.0%        LazyCompile: ~connectionListener _http_server.js:412:28
      1  100.0%          LazyCompile: *emit events.js:264:44
      1  100.0%            LazyCompile: ~onconnection net.js:1531:22
      2    1.8%    T __ZN2v88internal17Builtin_JsonParseEiPmPNS0_7IsolateE
      2  100.0%      LazyCompile: ~readPackage internal/modules/cjs/loader.js:240:21
      2  100.0%        LazyCompile: ~resolveExports internal/modules/cjs/loader.js:422:24
      2  100.0%          LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      2  100.0%            LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:796:35

     87    1.3%  T __ZN4node10HandleWrap5CloseERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     87  100.0%    T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
     77   88.5%      LazyCompile: *Socket._destroy net.js:653:37
     74   96.1%        LazyCompile: *destroy internal/streams/destroy.js:5:17
     39   52.7%          LazyCompile: *onceWrapper events.js:416:21
     39  100.0%            LazyCompile: *emit events.js:264:44
     29   39.2%          LazyCompile: ~onceWrapper events.js:416:21
     29  100.0%            LazyCompile: *emit events.js:264:44
      6    8.1%          LazyCompile: ~afterConnect net.js:1108:22
      3    3.9%        LazyCompile: ~destroy internal/streams/destroy.js:5:17
      2   66.7%          LazyCompile: ~onceWrapper events.js:416:21
      2  100.0%            LazyCompile: *emit events.js:264:44
      1   33.3%          LazyCompile: ~afterConnect net.js:1108:22
     10   11.5%      LazyCompile: ~Socket._destroy net.js:653:37
     10  100.0%        LazyCompile: ~destroy internal/streams/destroy.js:5:17
      8   80.0%          LazyCompile: ~onceWrapper events.js:416:21
      6   75.0%            LazyCompile: *emit events.js:264:44
      2   25.0%            LazyCompile: ~emit events.js:264:44
      2   20.0%          LazyCompile: ~afterConnect net.js:1108:22

     73    1.1%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_11WriteStringILNS_8encodingE1EEEiRKN2v820FunctionCallbackInfoINS4_5ValueEEEEEEEvS9_
     72   98.6%    T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
     72  100.0%      LazyCompile: ~handleWriteReq internal/stream_base_commons.js:47:24
     60   83.3%        LazyCompile: *writeOrBuffer internal/streams/writable.js:334:23
     43   71.7%          LazyCompile: *value internal/console/constructor.js:258:20
     40   93.0%            LazyCompile: *warn internal/console/constructor.js:362:7
      3    7.0%            LazyCompile: ~warn internal/console/constructor.js:362:7
     13   21.7%          LazyCompile: *Writable.write internal/streams/writable.js:258:36
     13  100.0%            LazyCompile: ~value internal/console/constructor.js:258:20
      4    6.7%          LazyCompile: ~Writable.write internal/streams/writable.js:258:36
      4  100.0%            LazyCompile: ~value internal/console/constructor.js:258:20
     12   16.7%        LazyCompile: ~writeGeneric internal/stream_base_commons.js:143:22
     12  100.0%          LazyCompile: ~Socket._writeGeneric net.js:759:42
     12  100.0%            LazyCompile: ~Socket._write net.js:796:35
      1    1.4%    LazyCompile: *handleWriteReq internal/stream_base_commons.js:47:24
      1  100.0%      LazyCompile: *writeOrBuffer internal/streams/writable.js:334:23
      1  100.0%        LazyCompile: *value internal/console/constructor.js:258:20
      1  100.0%          LazyCompile: *warn internal/console/constructor.js:362:7
      1  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE

     71    1.1%  t __ZN4node2fsL22InternalModuleReadJSONERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     71  100.0%    T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
     71  100.0%      LazyCompile: ~read internal/modules/package_json_reader.js:16:14
     71  100.0%        LazyCompile: ~readPackage internal/modules/cjs/loader.js:240:21
     69   97.2%          LazyCompile: ~resolveExports internal/modules/cjs/loader.js:422:24
     69  100.0%            LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      2    2.8%          LazyCompile: ~readPackageScope internal/modules/cjs/loader.js:271:26
      1   50.0%            LazyCompile: ~trySelf internal/modules/cjs/loader.js:391:17
      1   50.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37

